NSC	CAS	Generic Name	Preffered Name	Projects	Primary Target
765898	873652-48-3		GDC-0152	Investigational 	IAP
767128	1260251-31-7	birinapant	TL-32711	Investigational 	IAP
772868	1005342-46-0		LCL-161	Investigational 	IAP
781468	1446182-94-0		CUDC-427	Investigational 	IAP
787048	1258392-53-8		AZD-5582	Investigational 	IAP
768539	1355324-87-6		Agios Cmp 301	Investigational 	IDH1
772564	1355324-14-9		IDH-C227	Investigational 	IDH1
773096	1355326-35-0		IDH-C35	Investigational 	IDH1
789102	1448347-49-6	ivosidenib	AG-120	Investigational 	IDH1
794487	1803274-65-8		BAY-1436032	Investigational	IDH1
781409	1432660-47-3		AGI-6780	Investigational 	IDH2
788120	1446502-11-9	enasidenib	AG-221	Approved 	IDH2
721782	110117-83-4		1-Methyl-[D]-tryptophan	Investigational 	IDO1
785497	1204669-58-8	epacadostat	INCB-24360	Investigational 	IDO1
796100	198474-05-4		PF-06840003	Investigational	IDO1
756652	867160-71-2	linsitinib	ASP-7487	Investigational 	IGF1R
758243	1001350-96-4		BMS-754807	Investigational 	IGF1R
761760	468740-43-4		BMS-536924	Investigational 	IGF1R
761931	904897-64-9		KHK Indazole	Investigational 	IGF1R
766255	1116235-97-2		GSK-1838705A	Investigational 	IGF1R
767006	475489-16-8		AEW-541	Investigational 	IGF1R
767746	475488-23-4		ADW-742	Investigational 	IGF1R
767951	1089283-49-7		GSK-1904529A	Investigational 	IGF1R
778366	898280-07-4		XL-228	Investigational 	IGF1R
66847	50-35-1	thalidomide	K-17	Approved 	immunomodulatory
747972	191732-72-6	lenalidomide	CC-5013	Approved 	immunomodulatory
775351	19171-19-8	pomalidomide	CC-4047	Approved 	immunomodulatory
762152	960374-59-8		ONX-0914	Investigational 	Immunoproteasome
752	50-44-2	thioguanine		Approved 	IMPDH
767601	297730-17-7		AVN-944	Investigational 	IMPDH
774651	188968-51-6	cilengitide	EMD-121974	Investigational 	Integrin
776790	227963-15-7		MK-0429	Investigational 	Integrin
777573	289483-69-8		E-7820	Investigational 	Integrin
755981	857064-42-7		WP-1034	Investigational 	JAK
759674	1138325-13-9	pacritinib	SB-1518	Investigational 	JAK
763371	941678-49-5	ruxolitinib	INCB-018424	Investigational 	JAK
764820	1229236-86-5	gandotinib	LY-2784544	Investigational 	JAK
766821	1271022-90-2		BMS-911543	Investigational 	JAK
767598	1056634-68-4	momelotinib	CYT-387	Investigational 	JAK
772887	945750-13-0		XL-019	Investigational 	JAK
772920	937273-04-6		SB-1578	Investigational 	JAK
781626	937272-79-2	pacritinib	SB-1518	Investigational 	JAK
782351	477600-75-2	tofacitinib	CP-690550	Investigational 	JAK
792849	1334298-90-6	itacitinib	INCB-39110	Investigational 	JAK1
756648	935666-88-9		AZD-1480	Investigational 	JAK2
767600	936091-26-8	fedratinib	SAR-302503	Investigational 	JAK2
755773	129-56-6		SP-600125	Investigational 	JNK
755386	336113-53-2	ispinesib	CK-0238273	Investigational 	KSP
763564	858668-07-2		EMD-534085	Investigational 	KSP
771644	1095253-39-6		ARQ-621	Investigational 	KSP
772254	885060-09-3		ARRY-520 (isomer A)	Investigational 	KSP
772255	885060-09-3		ARRY-520 (isomer B)	Investigational 	KSP
773261	940929-33-9		SB-743921	Investigational 	KSP
780965	845256-65-7		MK-0731	Investigational 	KSP
789722	910634-41-2	litronesib	LY-2523355	Investigational 	KSP
773174	1370290-34-8		LDHA Cmp 33	Investigational 	LDHA
775018	1370290-53-1		LDHA Cmp 35	Investigational 	LDHA
762419	521064-34-6		CT-32228	Investigational 	LPAAT-beta
783917	1401966-69-5		GSK-2879552	Investigational 	LSD1
787081	1613028-81-1		SR-9243	Investigational 	LXR
788186	859212-16-1	bafetinib	CNS-9	Investigational 	Lyn
763094	1101854-58-3		JZL-184	Investigational 	MAGL
763527	1210004-12-8		JZL-195	Investigational 	MAGL
781008	1227962-62-0	maritoclax	marinopyrrole A	Investigational 	Mcl-1
783916	1651890-44-6	pyridoclax	MR-29072	Investigational 	Mcl-1
784817	no cas		A-1210477	Investigational 	Mcl-1
787780	1228108-65-3	sabutoclax	BI-97C1	Investigational 	Mcl-1
787960	518303-20-3		UMI-77	Investigational 	Mcl-1
798846	1799633-27-4		S-63845	Investigational	MCl-1
796433	1341224-83-6		PF-04136309	Investigational	MCP-1
787047	1448671-31-5		AZD-3965	Investigational 	MCT
754358	787632-66-0		JNJ-27291199	Investigational 	MDM2
754360	1201143-87-4		MI-219	Investigational 	MDM2
756875	548472-68-0	(+/-)-nutlin-3		Investigational 	MDM2
756876	675576-98-4	(-)-nutlin-3		Investigational 	MDM2
763443	675576-97-3	(+)-Nutlin-3		Investigational 	MDM2
771531	no cas		RG-7112	Investigational 	MDM2
779404	1229705-06-9	idasanutlin	RG-7388	Investigational 	MDM2
781009	1303607-07-9		MI-773	Investigational 	MDM2
781515	1352066-68-2		AMG-232	Investigational 	MDM2
783015	1313363-54-0		CGM-097	Investigational 	MDM2
798304	2016795-77-8		EC-330	Investigational	MDM2
679828	167869-21-8		PD-98059	Investigational 	MEK
741078	606143-52-6	selumetinib	AZD-6244	Investigational 	MEK
755763	1236699-92-5	pimasertib	AS-703026	Investigational 	MEK
755770	391210-10-9		PD-0325901	Investigational 	MEK
758246	871700-17-3	trametinib	GSK-1120212	Approved 	MEK
758248	946128-88-7		RO-5126766	Investigational 	MEK
761215	1035555-63-5		TAK-733	Investigational 	MEK
762521	874101-00-5		RG-7167	Investigational 	MEK
764042	1201685-05-3		ARRY-162	Investigational 	MEK
765695	212631-79-3		PD-184352	Investigational 	MEK
765866	923032-37-5	refametinib	BAY-86-9766	Investigational 	MEK
